CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,3,3,3,58.21,"2,315.00",-738.75,780,"2,262.75","2,365.40",780,"21,100.00","1,755",0.70,0.75,"9,620",-0.50,0.70,35.59,"90,374","-6,669","1,02,882",
,-,-,-,-,-,-,780,"2,058.15","2,410.15",780,"21,150.00",975,0.70,0.75,"7,670",-0.45,0.75,35.09,"11,086",-141,"2,139",
,-,-,-,-,-,-,780,"2,162.70","2,266.55",780,"21,200.00","3,445",0.70,0.80,520,-0.55,0.70,34.11,"40,642","-5,030","17,629",
,-,-,-,-,-,-,780,"2,109.35","2,227.35",780,"21,250.00","3,640",0.70,0.75,"4,290",-0.55,0.70,33.37,"7,557",483,"1,672",
,1,-,-,-,"1,983.80",-,"1,690","1,897.20","2,201.95",780,"21,300.00","22,295",0.75,0.85,390,-0.55,0.75,32.85,"24,169","-1,816","7,325",
,1,-,-,43.89,"2,100.55",-,780,"2,002.85","2,110.20",780,"21,350.00","1,300",0.75,0.85,"1,950",-0.55,0.80,32.32,"2,353",-69,879,
,2,-,-,-,"1,938.20",-,390,"1,963.75","2,076.55",780,"21,400.00","1,755",0.90,0.95,650,-0.50,0.85,31.77,"26,730","-1,287","6,913",
,-,-,-,-,-,-,780,"1,776.10","2,088.25",780,"21,450.00","1,885",0.80,0.95,"1,300",-0.60,0.80,30.82,"11,689",59,"1,231",
,30,-4,11,53.39,"1,926.15",-59.10,65,"1,893.95","1,910.85",65,"21,500.00","33,280",0.90,0.95,"27,430",-0.50,0.95,30.62,"1,37,367","-12,598","77,530",
,1,-,-,70.10,"2,290.00",-,780,"1,805.25","1,910.25",390,"21,550.00","1,755",0.90,1.00,"1,755",-0.65,0.80,29.33,"13,020",-344,"1,531",
,-,-,-,-,-,-,780,"1,634.85","1,931.25",780,"21,600.00","1,755",0.90,1.00,"1,820",-0.45,1.00,29.26,"31,351","-1,971","7,126",
,-,-,-,-,-,-,780,"1,712.65","1,810.15",780,"21,650.00","2,080",0.95,1.05,"2,145",-0.55,0.95,28.34,"14,009",-846,"1,790",
,-,-,-,-,-,-,780,"1,541.45","1,824.80",780,"21,700.00",780,0.90,0.95,"1,625",-0.65,0.95,27.59,"41,525",-526,"10,690",
,1,-,-,-,"1,553.35",-,"1,690","1,468.45","1,719.45",780,"21,750.00","2,535",1.00,1.15,"3,900",-0.70,1.00,26.98,"13,504",356,"2,239",
,-,-,-,-,-,-,780,"1,565.15","1,660.00",780,"21,800.00",65,0.95,1.05,"3,380",-0.75,1.00,26.22,"1,09,631","-5,547","21,593",
,-,-,-,-,-,-,780,"1,504.80","1,610.10",780,"21,850.00",975,1.00,1.15,910,-0.65,1.15,25.85,"18,088",-397,"2,972",
,-,-,-,-,-,-,780,"1,456.80","1,560.60",780,"21,900.00","2,340",1.05,1.15,"1,300",-0.65,1.15,25.08,"77,096","-9,943","21,916",
,2,1,2,-,"1,427.00",52.65,"1,690","1,303.85","1,561.75","1,690","21,950.00","1,755",1.10,1.25,"29,835",-0.90,1.15,24.31,"29,635",-676,"3,435",
,392,-139,560,41.34,"1,425.35",-69.65,130,"1,403.00","1,413.00",65,"22,000.00",650,1.15,1.25,"3,965",-0.90,1.25,23.76,"4,23,420","-15,617","1,03,879",
,2,1,2,39.96,"1,374.70",93.10,"1,690","1,211.95","1,425.35",390,"22,050.00",130,1.15,1.25,"2,730",-1.10,1.15,22.76,"36,766",-268,"3,459",
,8,7,11,34.70,"1,311.75",81.65,65,"1,297.10","1,312.95",65,"22,100.00","15,860",1.10,1.20,"2,665",-1.15,1.20,22.09,"1,44,156",-414,"23,522",
,1,-,-,-,"1,189.60",-,"1,690","1,122.15","1,356.40","1,690","22,150.00","1,755",1.20,1.35,"2,665",-1.30,1.20,21.31,"46,570",-539,"4,308",
,8,2,27,35.53,"1,221.60",-61.05,65,"1,201.30","1,212.85",65,"22,200.00",130,1.20,1.30,"4,160",-1.30,1.30,20.73,"3,04,447","-2,062","37,527",
,11,-1,3,40.88,"1,199.25",7.70,780,"1,117.80","1,202.80",780,"22,250.00","4,355",1.25,1.40,"1,365",-1.60,1.25,19.85,"1,32,579",-718,"17,568",
,64,7,45,33.30,"1,122.15",-49.95,65,"1,101.40","1,112.90",65,"22,300.00","3,055",1.30,1.35,"8,125",-1.65,1.30,19.15,"5,24,301","-6,440","41,863",
,19,-5,40,31.57,"1,070.15",-29.85,780,"1,019.15","1,102.75",845,"22,350.00","3,510",1.45,1.50,390,-1.85,1.50,18.69,"2,01,360","-4,986","12,404",
,93,32,166,30.90,"1,022.15",-35.20,65,"1,001.70","1,013.90",130,"22,400.00","4,420",1.60,1.75,"1,300",-2.00,1.60,18.04,"5,65,555","-1,503","37,538",
,32,27,47,31.13,978.10,-63.45,780,920.20,"1,006.80",780,"22,450.00","3,510",1.70,1.80,"3,185",-2.25,1.70,17.36,"2,59,408",-181,"16,036",
,"2,524",21,"2,979",23.00,903.70,-68.75,65,901.80,908.80,65,"22,500.00","1,430",1.95,2.05,"4,030",-2.45,1.95,16.85,"13,24,466","6,490","1,57,007",
,85,55,164,30.68,887.90,-33.20,130,852.00,863.00,130,"22,550.00","2,210",2.10,2.30,715,-2.75,2.15,16.24,"3,51,425","5,509","21,920",
,425,-28,844,23.63,812.60,-74.60,65,804.05,811.70,65,"22,600.00","2,535",2.30,2.40,520,-3.25,2.30,15.54,"10,08,937","-2,953","44,328",
,111,54,221,24.42,770.55,-60.95,65,756.20,762.55,65,"22,650.00",65,2.80,2.95,975,-3.55,2.80,15.12,"7,38,343","7,893","33,641",
,492,83,"2,160",21.12,712.00,-83.05,65,705.90,713.20,65,"22,700.00","2,470",3.35,3.45,130,-4.10,3.35,14.65,"15,21,159","25,315","76,081",
,199,47,513,23.22,676.70,-54.85,65,657.30,663.55,65,"22,750.00","2,600",4.40,4.55,"2,080",-4.65,4.45,14.43,"7,69,939","10,787","30,943",
,"1,149",-18,"10,690",19.25,614.10,-80.75,325,611.25,612.65,780,"22,800.00","3,250",5.75,5.90,650,-5.10,5.80,14.16,"16,39,919","12,235","74,170",
,424,94,"1,870",18.61,566.75,-69.80,65,559.25,566.40,65,"22,850.00",910,7.50,7.55,65,-5.85,7.50,13.86,"9,37,440","9,465","29,837",
,850,-505,"7,867",17.72,518.60,-75.90,65,512.00,518.65,65,"22,900.00",845,10.10,10.25,"1,365",-6.10,10.10,13.70,"17,48,648","16,629","81,437",
,524,81,"4,543",17.18,472.65,-73.30,65,465.05,470.05,65,"22,950.00","1,690",13.40,13.55,455,-6.55,13.55,13.55,"13,17,818","4,842","24,833",
,"11,338","1,660","1,21,461",15.43,420.35,-77.75,520,420.55,424.00,390,"23,000.00","2,925",17.95,18.20,"2,015",-6.55,18.20,13.44,"41,21,054","19,245","1,42,238",
,782,135,"14,185",15.96,382.15,-74.60,195,375.90,380.85,130,"23,050.00",195,23.45,23.70,455,-7.20,23.70,13.24,"15,21,229","26,306","52,672",
,"4,986",111,"96,071",14.90,335.05,-81.65,260,335.45,337.60,585,"23,100.00",650,31.05,31.30,65,-6.80,31.10,13.12,"27,74,994","8,866","58,239",
,"3,001","1,037","70,803",14.56,294.15,-83.35,260,295.40,297.60,520,"23,150.00",845,40.70,40.95,975,-4.95,40.95,13.07,"19,41,019","-21,057","32,030",
,"22,096","3,617","4,75,891",14.74,259.35,-75.20,65,258.00,259.00,"1,105","23,200.00",780,52.40,52.75,520,-4.15,52.35,12.94,"40,85,914",952,"72,448",
,"9,471",786,"3,41,604",14.36,222.15,-76.95,260,221.55,223.25,195,"23,250.00",520,67.10,67.55,780,-1.05,67.45,12.95,"27,06,888","-13,355","32,435",
,"68,683","6,556","20,67,497",14.28,190.00,-71.80,715,189.50,190.50,520,"23,300.00",520,84.30,84.75,195,-0.35,84.70,12.88,"58,40,628","-3,970","1,13,709",
,"32,974","13,696","19,91,012",14.24,161.00,-66.65,520,160.45,161.20,520,"23,350.00",520,105.20,105.70,260,3.90,105.70,12.89,"42,24,279","2,551","44,157",
,"87,559","29,275","48,20,900",14.19,134.70,-64.15,520,134.70,135.45,520,"23,400.00","4,875",129.45,129.95,585,8.25,129.45,12.87,"61,78,597","3,599","86,972",
,"51,609","18,389","37,27,542",14.20,111.80,-59.40,715,111.75,112.35,195,"23,450.00",650,155.50,156.35,715,12.75,156.05,12.81,"37,00,671","-7,010","28,019",
,"1,54,056","47,113","68,02,735",14.21,91.75,-55.20,520,91.35,91.80,780,"23,500.00",520,184.80,186.05,195,19.10,185.15,12.68,"41,86,710","4,716","77,527",
,"49,661","28,588","26,07,743",14.26,74.80,-48.75,585,74.80,75.05,130,"23,550.00",520,217.55,218.75,325,21.60,217.75,12.60,"8,53,776","1,782","9,978",
,"1,04,570","41,988","38,32,175",14.35,60.60,-43.70,520,60.65,60.95,520,"23,600.00","1,040",252.80,254.35,325,28.90,252.35,12.39,"9,47,250",647,"31,253",
,"39,465","17,943","21,30,719",14.52,49.25,-38.00,585,48.95,49.35,520,"23,650.00",65,291.45,292.95,325,35.35,290.45,12.28,"1,94,490",1,"4,474",
,"1,26,256","47,281","31,10,479",14.69,39.80,-32.75,"1,820",39.35,39.70,780,"23,700.00",130,331.85,334.50,260,43.60,334.35,12.72,"2,56,553",459,"34,592",
,"47,404","16,361","14,73,065",14.96,32.55,-26.30,"1,170",32.30,32.60,"1,235","23,750.00",195,374.00,376.75,325,46.20,373.95,12.07,"1,08,844",728,"2,811",
,"89,091","2,422","26,60,761",15.22,26.60,-22.35,195,26.40,26.60,715,"23,800.00",130,418.00,420.00,325,49.60,415.00,10.94,"1,05,456","-1,937","9,914",
,"38,703","18,372","11,32,281",15.56,22.05,-18.05,"1,560",21.90,22.00,520,"23,850.00",130,463.60,465.95,325,58.10,463.95,11.62,"11,941",152,"1,913",
,"91,617","43,855","18,20,943",15.92,18.35,-15.05,520,18.15,18.30,520,"23,900.00",585,509.20,510.00,65,59.05,510.50,11.05,"20,221",-325,"6,643",
,"38,927","12,282","8,71,117",16.19,15.00,-12.60,"1,235",14.90,15.10,585,"23,950.00",130,555.75,559.55,325,59.15,557.80,9.55,"4,396",53,"1,864",
,"2,65,524","86,319","28,58,658",16.54,12.55,-10.45,"1,105",12.55,12.70,"1,690","24,000.00",65,602.80,607.35,390,61.35,603.00,-,"47,378","1,455","20,276",
,"34,487","12,957","7,22,537",16.82,10.30,-8.55,845,10.30,10.45,780,"24,050.00",325,652.15,658.30,130,27.70,649.25,-,"1,690",8,"1,353",
,"91,814","38,825","11,22,996",17.14,8.55,-7.00,"4,680",8.55,8.60,"1,560","24,100.00",65,697.45,704.75,65,38.35,700.00,-,"2,562",-17,"2,428",
,"44,257","17,410","5,91,474",17.47,7.15,-5.80,520,7.15,7.20,260,"24,150.00",130,747.25,751.25,325,72.00,750.10,-,"1,348",58,429,
,"1,27,621","30,188","10,76,618",17.83,6.05,-4.90,"1,560",5.90,6.05,"1,040","24,200.00",65,795.50,799.80,65,42.00,788.65,-,"3,963",-586,"1,644",
,"25,341","10,427","5,02,213",18.32,5.35,-3.95,845,5.20,5.30,"2,860","24,250.00",65,843.50,850.00,195,44.95,823.75,-,364,33,329,
